Famille,Sous_type,Medicament_Principal,Exemples_Commerciaux,Indication_1,Indication_2,Mecanisme_Court,IDE_1_Grave,IDE_2,Surveillance_Clinique_1,Surveillance_Clinique_2,Surveillance_Biologique_1,Surveillance_Biologique_2,Antidote
AINS,AINS,Naproxène,Naprosyne,Inflammation articulaire,Dysménorrhée,Inhibition non-sélective des COX-1/2,Ulcère hémorragique,Insuffisance rénale,Efficacité analgésique,signes digestifs,Créatininémie,NFS,
AINS,AINS,Célécoxib,Celebrex,Arthrose,Polyarthrite rhumatoïde,Inhibition sélective de la COX-2,Risque cardio-vasculaire,Hémorragie digestive,TA,douleur,Créatininémie,bilan lipidique,
AIS,Corticoïdes systémiques,Prednisone,Cortancyl,Anti-inflammatoire,Immunosuppression,"Liaison aux récepteurs glucocorticoïdes, modulation de la transcription génique anti-inflammatoire",Hyperglycémie,infections,Poids,TA,glycémie,Ionogramme,
AIS,Corticoïdes systémiques,Prednisolone,Solupred,Anti-inflammatoire,Immunosuppression,"Liaison aux récepteurs glucocorticoïdes, modulation de la transcription génique anti-inflammatoire",Hyperglycémie,Insuffisance surrénale,Poids,TA,glycémie,Ionogramme,
AIS,Corticoïdes systémiques,Méthylprednisolone,Medrol,Anti-inflammatoire,Urgences inflammatoires,"Liaison aux récepteurs glucocorticoïdes, modulation de la transcription génique anti-inflammatoire",Hyperglycémie,infections,poids,signes d'infection,Glycémie,ionogramme,
AIS,Corticoïdes systémiques,Dexaméthasone,Dectancyl,Anti-inflammatoire,Œdème cérébral,"Liaison aux récepteurs glucocorticoïdes, modulation de la transcription génique anti-inflammatoire",Hyperglycémie,infections,Poids,TA,glycémie,ionogramme,
Anticoagulant,HNF,Héparine sodique,Héparine Choay,Traitement maladie thromboembolique,relais vers AVK,Accélérateur antithrombine III + inhibition thrombine (IIa) et Xa,Hémorragie,Thrombopénie induite,Signes de saignement,points injection,TCA,NFS plaquettes,Sulfate de protamine
Anticoagulant,HNF,Héparine calcique,Calciparine sous cutanée,Prévention maladie thromboembolique,relais héparine sodique,Accélérateur antithrombine III + inhibition thrombine (IIa) et Xa,Hémorragie,Thrombopénie induite,Signes de saignement,points injection,TCA,NFS plaquettes,Sulfate de protamine
Anticoagulant,HBPM,Énoxaparine,Lovenox,Prévention maladie thromboembolique,Traitement thrombose,Inhibition facteur Xa via antithrombine III,Hémorragie,Hématomes SC,Saignements,hématomes,NFS plaquettes,créatininémie,Sulfate de protamine
Anticoagulant,HBPM,Tinzaparine,Innohep,Prévention maladie thromboembolique,Traitement thrombose,Inhibition facteur Xa via antithrombine III,Hémorragie,Thrombopénie (TIH),Saignements,hématomes,NFS plaquettes,créatininémie,Sulfate de protamine
Anticoagulant,HBPM,Nadroparine,Fraxiparine,Prévention maladie thromboembolique,Traitement thrombose,Inhibition facteur Xa via antithrombine III,Hémorragie,Thrombopénie (TIH),Saignements,hématomes,NFS plaquettes,créatininémie,Sulfate de protamine
Anticoagulant,AVK,Fluindione,Préviscan,Prévention AVC fibrillation auriculaire,Prothèses valvulaires,"Inhibition de la synthèse hépatique des facteurs vitamine K-dépendants (II, VII, IX, X)",Hémorragie,Nécrose cutanée,Signes de saignement,alimentation K stable,INR régulier,,PPSB urgence + Vitamine K
Anticoagulant,AVK,Warfarine,Coumadine,Prévention AVC,Traitement thrombose veineuse,"Inhibition de la synthèse hépatique des facteurs vitamine K-dépendants (II, VII, IX, X)",Hémorragie intracrânienne,Interactions nombreuses,Observance,alimentation,INR régulier,,PPSB urgence + Vitamine K
Anticoagulant,AVK,Acénocoumarol,Sintrom,Prévention AVC,Prothèses valvulaires,"Inhibition de la synthèse hépatique des facteurs vitamine K-dépendants (II, VII, IX, X)",Hémorragie,Nécrose cutanée,Alimentation stable,observance,INR,,PPSB urgence + Vitamine K
Anticoagulant,AOD,Rivaroxaban,Xarelto,Prévention AVC fibrillation auriculaire,Traitement thrombose veineuse,Inhibition directe facteur Xa,Hémorragie,Hématurie,Signes de saignement,observance,Créatininémie,,
Anticoagulant,AOD,Apixaban,Eliquis,Prévention AVC,Traitement thrombose veineuse,Inhibition directe facteur Xa,Hémorragie digestive,Hématomes,Saignements,observance,Créatininémie,,
Anticoagulant,AOD,Edoxaban,Lixiana,Prévention AVC,Traitement thrombose veineuse,Inhibition directe facteur Xa,Hémorragie,Hématurie,Signes de saignement,observance,Créatininémie,,
Anticoagulant,AOD,Dabigatran,Pradaxa,Prévention AVC fibrillation auriculaire,Traitement thrombose veineuse,Inhibition directe thrombine (facteur lla),Hémorragie,Dyspepsie,Signes de saignement,observance,Créatininémie,,Idarucizumab
Antiagrégant,AAP inhibiteur COX-1,Acide acétylsalicylique,"Kardégic, Aspégic",Prévention AVC,Prévention infarctus post-syndrome coronarien aiguë,Inhibition irréversible COX-1,Hémorragie,Ulcère gastrique,Signes de saignement,douleurs gastriques,NFS,,
Antiagrégant,AAP inhibiteur ADP,Clopidogrel,Plavix,Prévention syndrome coronarien aiguë,Post-stent,Inhibition du récepteur plaquettaire P2Y12,Hémorragie,Troubles digestifs,Saignements,observance,NFS,,
Antiagrégant,AAP inhibiteur ADP,Ticlopidine,Ticlid,Prévention AVC,Post-stent,Inhibition du récepteur plaquettaire P2Y12,Hémorragie,Agranulocytose,Signes de saignement,céphalées,NFS,,
Antiagrégant,AAP inhibiteur ADP,Ticagrelor,Brilique,Prévention syndrome coronarien aiguë,Infarctus,Inhibition réversible du récepteur plaquettaire P2Y12,Hémorragie,Bradycardie,Saignements,FC,NFS,,
Antiagrégant,AAP inhibiteur ADP,Prasugrel,Efient,Prévention syndrome coronarien aiguë,Angioplastie,Inhibition irréversible du récepteur plaquettaire P2Y12,Hémorragie,Saignements intracrâniens,Saignements,,NFS,,
Antiagrégant,AAP antagoniste GP IIb/IIIa,Eptifibatide,Integrelin,Urgence angioplastie,Angor instable,Blocage récepteur plaquettaire GP IIb/IIIa,Hémorragie grave,Thrombopénie,Surveillance rapprochée saignements,,NFS plaquettes,,
Antiagrégant,AAP antagoniste GP IIb/IIIa,Tirofiban,Agrastat,Urgence cardiaque,Angioplastie coronaire,Blocage récepteur plaquettaire GP IIb/IIIa,Hémorragie importante,Thrombopénie sévère,Hémorragie au point de ponction,,NFS plaquettes,,
