Catégorie,Sous-catégorie,Prévalence,Symptomatologie
"Troubles anxieux 
(anxiété excessive et perturbations comportementales associées)",Trouble anxieux généralisé ,8%,"inquiétude excessive et difficile à contrôler, sur plusieurs thèmes, ≥ 6 mois, associée à tension musculaire, agitation, fatigue, troubles du sommeil, irritabilité, difficultés de concentration"
"Troubles anxieux 
(anxiété excessive et perturbations comportementales associées)",Trouble panique et agoraphobie,,"attaques de panique récurrentes (pic de peur intense avec symptômes autonomiques : tachycardie, dyspnée, sueurs, tremblements, peur de mourir/de perdre le contrôle) et/ou évitement de situations par crainte de faire une attaque (agoraphobie)"
"Troubles anxieux 
(anxiété excessive et perturbations comportementales associées)", Troubles phobiques ,15%,"peur marquée, excessive et persistante d’un objet/situation spécifique (animaux, sang, hauteurs, avion, etc.) entraînant évitement et détresse"
"Troubles anxieux 
(anxiété excessive et perturbations comportementales associées)", Trouble stress post-traumatique (TSPT),,"après un traumatisme, intrusion (reviviscences, cauchemars), évitement, altérations cognitives/émotionnelles négatives, hyperactivation neurovégétative (hypervigilance, sursaut)"
"Troubles anxieux 
(anxiété excessive et perturbations comportementales associées)",Trouble de l’adaptation,,"symptômes émotionnels/comportementaux en réponse à un facteur de stress identifiable, survenant dans les 3 mois, avec détresse ou altération fonctionnelle."
TOC et apparentés,Trouble obsessionnel compulsif (TOC),,"obsessions (pensées/impulsions/images intrusives, anxiogènes, reconnues comme excessives) et compulsions (comportements/actes mentels répétés visant à réduire l’anxiété), chronophages et invalidant"
"Troubles somatomorphes 
(signes physiques prédominants avec détresse ou handicap significatif)",Trouble de somatisation,,"multiples symptômes somatiques variés et persistants, avec pensées/angoisses/comportements excessifs liés à ces symptômes"
"Troubles somatomorphes 
(signes physiques prédominants avec détresse ou handicap significatif)",Trouble de conversion,,"symptômes neurologiques (moteurs/sensitifs, crises non épileptiques, cécité, paralysie) incompatibles avec les maladies neurologiques, liés à des facteurs psychologiques"
"Troubles somatomorphes 
(signes physiques prédominants avec détresse ou handicap significatif)",Trouble douloureux,,"douleur prédominante, persistante, avec détresse/altération fonctionnelle et facteurs psychologiques contributifs"
"Troubles somatomorphes 
(signes physiques prédominants avec détresse ou handicap significatif)",Hypochondrie,,"préoccupation excessive d’avoir une maladie grave, interprétation catastrophiste de symptômes bénins, comportements de vérification/évitement"
"Troubles somatomorphes 
(signes physiques prédominants avec détresse ou handicap significatif)","
Dysmorphophobies",,"préoccupation centrée sur un défaut perçu de l’apparence, mineur ou imaginaire, avec comportements répétitifs (miroir, camouflages) et détresse"
"Troubles dissociatifs
(perturbation / discontinuité dans l’intégration de la conscience, mémoire, identité, émotions, perception, représentation du corps, contrôle moteur et du comportement)","Dépersonnalisation, déréalisation",,"sentiment persistant/récurrent d’être détaché de soi (dépersonnalisation) et/ou de son environnement (déréalisation), avec conservation du sens de la réalité"
"Troubles dissociatifs
(perturbation / discontinuité dans l’intégration de la conscience, mémoire, identité, émotions, perception, représentation du corps, contrôle moteur et du comportement)","
 Amnésies dissociatives avec ou sans fugue",,"incapacité à se souvenir d’informations personnelles importantes (souvent traumatiques), non expliquée par une cause organique ; la fugue ajoute un déplacement inattendu avec amnésie de l’identité"
Addictions,"Troubles liés à l’usage d’une substance : 
 – Alcool
 – Amphétamines
 – Cannabis
 – Cathinones
 – Cocaïne
 – GHB / GHL
 – Hallucinogènes
 – Kétamine
 – Médicaments (BZD)
 – Opiacés
 – Tabac",10% (alcool),"consommation compulsive, perte de contrôle, craving, tolérance, sevrage, poursuite malgré conséquences négatives, temps important consacré à la substance, abandon d’activités."
Addictions,"Addictions comportementales :
 – Achats compulsifs
 – Addiction à l’exercice physique
 – Addiction aux jeux vidéo sur internet
 – Addiction sexuelle
 – Jeu pathologique",,"consommation compulsive, perte de contrôle, craving, tolérance, sevrage, poursuite malgré conséquences négatives, temps important consacré à la substance, abandon d’activités."
